Filename,Group,Hardness (N),Cohesiveness,Springiness,Resilience,Chewiness,Adhesiveness,Modulus (kPa)
260226_DC_TPA_10kN1.csv,ctrl,46.445,0.792,0.743,3.939,27.333,-5.435,2734.947
260226_DC_TPA_10kN10.csv,10%,34.1,0.739,0.715,3.136,18.001,-11.818,1794.796
260226_DC_TPA_10kN11.csv,15%,21.541,0.777,0.648,3.584,10.839,-7.702,1388.204
260226_DC_TPA_10kN12.csv,15%,21.919,0.757,0.688,3.539,11.426,-7.752,1411.263
260226_DC_TPA_10kN13.csv,15%,25.036,0.716,0.617,3.079,11.067,-8.087,1479.853
260226_DC_TPA_10kN14.csv,15%42%pwd,30.524,0.783,0.682,3.72,16.306,-5.054,1849.578
260226_DC_TPA_10kN15.csv,15%42%pwd,32.634,0.744,0.688,3.416,16.696,-3.278,1900.523
260226_DC_TPA_10kN16.csv,15%42%pwd,35.284,0.737,0.721,3.207,18.733,-12.367,1904.309
260226_DC_TPA_10kN2.csv,ctrl,51.088,0.762,0.729,3.643,28.401,-8.571,3040.349
260226_DC_TPA_10kN3.csv,ctrl,53.734,0.763,0.75,3.533,30.753,-10.417,3151.921
260226_DC_TPA_10kN4.csv,5%,42.034,0.784,0.734,3.637,24.192,-9.279,2382.348
260226_DC_TPA_10kN5.csv,5%,44.292,0.765,0.725,3.441,24.553,-11.653,2467.593
260226_DC_TPA_10kN6.csv,5%,45.813,0.75,0.72,3.297,24.73,-11.181,2515.97
260226_DC_TPA_10kN7.csv,5%,47.708,0.794,0.751,3.845,28.443,-16.051,3015.837
260226_DC_TPA_10kN8.csv,10%,32.793,0.752,0.731,3.357,18.022,-6.83,1725.782
260226_DC_TPA_10kN9.csv,10%,33.607,0.744,0.737,3.204,18.416,-7.222,1743.018
